Sample_ID,Score_DENV-1,Score_DENV-2,Score_DENV-3,Score_DENV-4,True_Label
gi|1941608074|dbj|LC553235.1|,1385.0,467.0,608.0,450.0,DENV-1
gi|1941608070|dbj|LC553234.1|,1393.0,476.0,600.0,458.0,DENV-1
gi|2623916740|gb|OR844290.1|,1219.0,502.0,617.0,467.0,DENV-1
gi|2623916738|gb|OR844289.1|,1221.0,502.0,612.0,465.0,DENV-1
gi|2623916702|gb|OR844271.1|,1235.0,508.0,635.0,479.0,DENV-1
gi|2623916700|gb|OR844270.1|,1233.0,506.0,637.0,481.0,DENV-1
gi|2623916658|gb|OR844249.1|,1241.0,506.0,632.0,473.0,DENV-1
gi|2623916660|gb|OR844250.1|,1251.0,502.0,630.0,475.0,DENV-1
gi|2623916630|gb|OR844235.1|,1249.0,508.0,632.0,471.0,DENV-1
gi|2623916566|gb|OR844203.1|,1225.0,512.0,624.0,471.0,DENV-1
gi|2623916564|gb|OR844202.1|,1225.0,512.0,624.0,471.0,DENV-1
gi|1972516178|gb|MW559419.1|,1211.0,501.0,625.0,470.0,DENV-1
gi|1972516138|gb|MW559399.1|,1223.0,521.0,626.0,478.0,DENV-1
gi|1508731909|gb|MG737988.1|,1219.0,504.0,626.0,457.0,DENV-1
gi|1508731905|gb|MG737986.1|,1227.0,511.0,620.0,469.0,DENV-1
LC553251.1,467.0,1481.0,459.0,499.0,DENV-2
LC553250.1,476.0,1459.0,462.0,502.0,DENV-2
JN544386.1,470.0,1375.0,463.0,486.0,DENV-2
JN544385.1,470.0,1375.0,463.0,486.0,DENV-2
JN544380.1,472.0,1373.0,464.0,489.0,DENV-2
JN544378.1,470.0,1375.0,466.0,489.0,DENV-2
AY512568.1,479.0,1220.0,479.0,519.0,DENV-2
AY512567.1,463.0,1429.0,455.0,502.0,DENV-2
JN376794.1,483.0,1245.0,487.0,495.0,DENV-2
JN376793.1,484.0,1251.0,486.0,500.0,DENV-2
KT751357.1,418.0,1269.0,408.0,434.0,DENV-2
KT751356.1,474.0,1379.0,463.0,495.0,DENV-2
LC553249.1,466.0,1459.0,463.0,495.0,DENV-2
LC553248.1,473.0,1449.0,455.0,496.0,DENV-2
LC553247.1,465.0,1473.0,460.0,497.0,DENV-2
OP164332.1,598.0,472.0,1245.0,435.0,DENV-3
OP164330.1,596.0,470.0,1243.0,438.0,DENV-3
OP159917.1,576.0,457.0,1223.0,434.0,DENV-3
OP159916.1,580.0,458.0,1229.0,432.0,DENV-3
ON911794.1,614.0,466.0,1351.0,440.0,DENV-3
OQ826949.1,611.0,459.0,1317.0,439.0,DENV-3
OQ826945.1,607.0,460.0,1317.0,439.0,DENV-3
OP952209.1,618.0,454.0,1357.0,428.0,DENV-3
MG895270.1,618.0,459.0,1351.0,433.0,DENV-3
MG895271.1,622.0,481.0,1247.0,460.0,DENV-3
MG895255.1,613.0,451.0,1331.0,437.0,DENV-3
PP124496.1,611.0,460.0,1349.0,428.0,DENV-3
PP124495.1,613.0,453.0,1345.0,443.0,DENV-3
PP124481.1,599.0,471.0,1247.0,439.0,DENV-3
PP124480.1,610.0,445.0,1329.0,435.0,DENV-3
LC553253.1,442.0,495.0,406.0,1395.0,DENV-4
OR844163.1,420.0,483.0,429.0,1227.0,DENV-4
OR844162.1,421.0,485.0,435.0,1225.0,DENV-4
OR844140.1,414.0,490.0,445.0,1219.0,DENV-4
OR844139.1,412.0,491.0,443.0,1217.0,DENV-4
OR844141.1,428.0,487.0,444.0,1243.0,DENV-4
OR844130.1,420.0,492.0,442.0,1231.0,DENV-4
OR844129.1,422.0,489.0,446.0,1229.0,DENV-4
OR844125.1,412.0,496.0,441.0,1239.0,DENV-4
MG840529.1,436.0,503.0,406.0,1390.0,DENV-4
MG840528.1,428.0,483.0,417.0,1207.0,DENV-4
MH893699.1,419.0,482.0,433.0,1211.0,DENV-4
KY887632.1,442.0,498.0,446.0,1273.0,DENV-4
MG895310.1,455.0,488.0,438.0,1365.0,DENV-4
MW424375.1,411.0,471.0,409.0,1233.0,DENV-4
